date,total,activated,act_percent
2020-05,46,17,36
2020-04,52,17,32
2020-03,55,27,49
2020-02,67,35,52
2020-01,60,38,63
2019-12,56,26,46
2019-11,78,46,58
2019-10,65,37,56
2019-09,39,19,48
2019-08,45,22,48
2019-07,62,21,33
2019-06,57,24,42
2019-05,30,11,36
2019-04,43,20,46
2019-03,36,15,41
2019-02,29,19,65
2019-01,22,14,63
2018-12,21,13,61
2018-11,34,16,47
2018-10,43,19,44
2018-09,64,33,51
2018-08,20,10,50
2018-07,6,4,66
2018-06,3,3,100
