date,total
2020-05,43
2020-04,52
2020-03,55
2020-02,67
2020-01,60
2019-12,56
2019-11,78
2019-10,65
2019-09,39
2019-08,45
2019-07,62
2019-06,57
2019-05,30
2019-04,43
2019-03,36
2019-02,29
2019-01,22
2018-12,21
2018-11,34
2018-10,43
2018-09,64
2018-08,20
2018-07,6
2018-06,3
