cohort_month,total_merchants,month_number,percentage,appt_count
2019-03-01,36,7,5.555555555555555,202
2019-03-01,36,8,11.11111111111111,102
2019-03-01,36,9,5.555555555555555,61
2019-03-01,36,10,5.555555555555555,88
2019-04-01,43,0,39.53488372093023,112
2019-04-01,43,1,18.6046511627907,336
2019-04-01,43,2,6.976744186046512,248
2019-04-01,43,3,6.976744186046512,175
2019-04-01,43,4,4.651162790697675,300
2019-04-01,43,5,4.651162790697675,207
2019-04-01,43,6,4.651162790697675,222
2019-04-01,43,7,9.30232558139535,198
2019-04-01,43,8,9.30232558139535,970
2019-04-01,43,9,9.30232558139535,927
2019-05-01,30,0,30,146
2019-05-01,30,1,16.666666666666668,986
2019-05-01,30,2,6.666666666666667,1024
2019-05-01,30,3,6.666666666666667,1062
2019-05-01,30,4,13.333333333333334,888
2019-05-01,30,5,6.666666666666667,840
2019-05-01,30,6,6.666666666666667,844
2019-05-01,30,7,6.666666666666667,905
2019-05-01,30,8,6.666666666666667,756
2019-06-01,57,0,28.07017543859649,289
2019-06-01,57,1,22.80701754385965,227
2019-06-01,57,2,10.526315789473685,195
2019-06-01,57,3,10.526315789473685,133
2019-06-01,57,4,8.771929824561404,123
2019-06-01,57,5,5.2631578947368425,119
2019-06-01,57,6,5.2631578947368425,93
2019-06-01,57,7,1.7543859649122806,71
2019-07-01,62,0,24.193548387096776,278
2019-07-01,62,1,17.741935483870968,1188
2019-07-01,62,2,14.516129032258064,1427
2019-07-01,62,3,14.516129032258064,1247
2019-07-01,62,4,14.516129032258064,1223
2019-07-01,62,5,12.903225806451612,1284
2019-07-01,62,6,11.290322580645162,1021
2019-08-01,45,0,35.55555555555556,144
2019-08-01,45,1,26.666666666666668,179
2019-08-01,45,2,22.22222222222222,266
2019-08-01,45,3,11.11111111111111,178
2019-08-01,45,4,13.333333333333334,207
2019-08-01,45,5,11.11111111111111,254
2019-09-01,39,0,33.333333333333336,845
2019-09-01,39,1,25.641025641025642,1035
2019-09-01,39,2,20.512820512820515,992
2019-09-01,39,3,7.6923076923076925,1009
2019-09-01,39,4,15.384615384615385,1039
2019-10-01,65,0,52.30769230769231,814
2019-10-01,65,1,26.153846153846153,1897
2019-10-01,65,2,23.076923076923077,1864
2019-10-01,65,3,16.923076923076923,1565
2019-11-01,78,0,50,549
2019-11-01,78,1,30.76923076923077,534
2019-11-01,78,2,20.512820512820515,340
2019-12-01,56,0,41.07142857142857,424
2019-12-01,56,1,23.214285714285715,361
2020-01-01,53,0,50.943396226415096,271
